time,X,S,P,B,V
0.0,0.2,10.0,0.0,0.0,1.0000000000000002
0.5,0.25375981591478786,12.777906415762926,0.0,0.007724734768141857,1.007500106461573
1.0,0.3206650250669332,17.36398807492806,0.0,0.01742178383677742,1.0200001064615727
1.5,0.4035917109270839,23.61694486091747,0.0,0.02948399517116427,1.0375001064615728
2.0,0.5058588891156586,31.354536271184017,0.0,0.04436260115025725,1.060000106461573
2.5,0.6314129010580889,40.36410090643487,0.0,0.06259403995384079,1.0875001064615728
3.0,0.7849414920140911,50.41415460857526,0.0,0.08481668138987841,1.1200001064615728
3.5,0.9719944277037923,61.261705323403945,0.0,0.11178800304946716,1.1575001064615726
4.0,1.1991951017080513,72.66873093239276,0.0,0.14441503755407958,1.2000001064615728
4.5,1.4743426901211252,84.40783953292213,0.0,0.18376837870290696,1.247500106461573
5.0,1.806505188086926,96.26690787312104,0.0,0.2310951413286888,1.300000106461573
5.5,2.2063677340890977,108.05460157327938,0.0,0.28786643881532953,1.3575001064615728
6.0,2.6862459150798683,119.59827308053546,0.0,0.35577808533537975,1.4200001064615728
6.5,3.2603095729025533,130.74672915668708,0.0,0.43677995929131364,1.4875001064615727
7.0,3.9446487957729164,141.36667663015507,0.0,0.5330806612494867,1.5600001064615725
7.5,4.757191645931494,151.34386104121626,0.0,0.6471380552282857,1.6375001064615728
8.0,5.717640632154382,160.5768461334481,0.0,0.7816368042323711,1.7200001064615729
8.5,6.847480523111972,168.97918718847188,0.0,0.9394939088718938,1.8075001064615728
9.0,8.169019756666343,176.47428510071657,0.0,1.1237083364393607,1.9000001064615728
9.5,9.705593115508577,182.99606522412603,0.0,1.3373918881051858,1.9975001064615727
10.0,11.480271201581665,188.48828394823502,0.0,1.5835767452299054,2.100000106461573
10.5,13.526002801857553,190.41927710021884,0.5769889828749917,1.8665992598471919,2.205625106465714
11.0,15.878755405410551,190.688805878241,1.2141391649197038,2.191149640437791,2.312500106465714
11.5,18.56271035186517,189.2944523228858,1.9186461518639168,2.560214860418972,2.420625106465714
12.0,21.598454946248832,186.2329001415151,2.69689663901537,2.97620040637943,2.530000106465714
12.5,25.001688202666045,181.50650533217944,3.5542099294528016,3.4407514776617307,2.640625106465714
13.0,28.78406525121733,175.12020575075425,4.495012099161296,3.954875110354163,2.7525001064657144
13.5,32.95106347632108,167.092617966128,5.522375215289173,4.518656335107489,2.865625106465714
14.0,37.50190992205012,157.45479380373666,6.638000550972259,5.131239531820126,2.9800001064657144
14.5,42.43102042520269,146.2464297157887,7.842467916603802,5.791054141798374,3.095625106465714
15.0,47.72870843842907,133.52083336206323,9.135318140970847,6.495973247417617,3.2125001064657144
15.5,53.38038076834551,119.34027265620986,10.514913856047807,7.2431403174139,3.3306251064657144
16.0,59.370014663534725,103.77231828549043,11.978819056242125,8.029551985929645,3.450000106465714
16.5,65.677567158691,86.89418068479921,13.523464444339899,8.851632923651733,3.570625106465714
17.0,72.28198846326572,68.79203652355193,15.1432897172872,9.70571863776689,3.6925001064657144
17.5,79.16010891038687,49.56083529005121,16.831190144951133,10.587878524701184,3.815625106465714
18.0,86.28228155932507,29.341531934817304,18.57172759774462,11.493269913076588,3.9400001064657135
18.5,93.56806203829174,8.649919846930572,20.28389984092141,12.409558943104974,4.065625106465713
19.0,97.76536216465377,0.15615891261561804,20.611858224804145,12.851151876619959,4.192510748708243
19.5,99.42510286475884,0.1467703209682226,20.18669627209051,12.911096232740466,4.320820940071819
20.0,101.01335686738932,0.13839471604615267,19.773103631565796,12.960629613564135,4.450195940071818
20.5,102.52166341071008,0.13084947522358226,19.37279013629742,12.998554932904444,4.580820940071818
21.0,103.9544711541473,0.1240030246876685,18.985366178643325,13.025564784625482,4.712695940071819
21.5,105.3164322900805,0.11778336191337936,18.610373741119442,13.042383911655676,4.845820940071818
22.0,106.61166656116526,0.11210422282207035,18.24736272165171,13.049654207813253,4.980195940071819
22.5,107.84381802076521,0.10688722246821666,17.895883801298687,13.047943191071871,5.115820940071819
23.0,109.01645279149803,0.10209117931403748,17.555499824464114,13.037806465983087,5.25269594007182
23.5,110.13275603664044,0.0976647768760358,17.22578532869182,13.01973968456778,5.390820940071818
24.0,111.19600295415589,0.09355951347227466,16.906312100694468,12.99425266468709,5.530195940071819
24.5,112.20880851328944,0.0897481228077049,16.596683494810836,12.961751424047627,5.670820940071819
25.0,113.17411304519403,0.08619229507579902,16.296490419064508,12.92269309463471,5.812695940071819
25.5,114.09421764825632,0.08287290999055721,16.005363789823164,12.877434215290611,5.955820940071819
26.0,114.97160430517755,0.07976548466906493,15.722930578050455,12.826359576545832,6.100195940071819
26.5,115.80840198335414,0.07685579733801336,15.448846827390257,12.769798242887672,6.245820940071819
27.0,116.60676240013328,0.07412788236831465,15.182762321924642,12.708083021900224,6.392695940071818
27.5,117.36872417295672,0.07154084935845585,14.924352577026845,12.641529183165247,6.540820940071819
28.0,118.09588827079196,0.06908556592123977,14.673315575346766,12.570382766853136,6.690195940071818
28.5,118.7899235396768,0.0667580390622806,14.429361119521046,12.49490046547202,6.840820940071818
29.0,119.4525013958477,0.06456728861233973,14.192211822505673,12.415339253556368,6.992695940071817
29.5,120.08484950504221,0.0625161920437391,13.961616131757452,12.331886345796761,7.145820940071817
30.0,120.68843191991235,0.060552550129065436,13.737322146621148,12.244766308812833,7.300195940071817
